2018-05-30 18:23:48, 70; 
2018-05-30 18:23:49, 70; 
2018-05-30 18:23:50, 70; 
2018-05-30 18:23:51, 70; 
2018-05-30 18:23:52, 70; 
2018-05-30 18:23:53, 70; 
2018-05-30 18:23:54, 70; 
2018-05-30 18:23:55, 70; 
2018-05-30 18:23:56, 70; 
2018-05-30 18:23:57, 70; 
2018-05-30 18:23:58, 70; 
2018-05-30 18:23:59, 70; 
2018-05-30 18:24:00, 70; 
2018-05-30 18:24:01, 70; 
2018-05-30 18:24:02, 70; 
2018-05-30 18:24:03, 70; 
2018-05-30 18:24:04, 70; 
2018-05-30 18:24:05, 70; 
2018-05-30 18:24:06, 70; 
2018-05-30 18:24:07, 70; 
2018-05-30 18:24:08, 70; 
2018-05-30 18:24:09, 66; 
2018-05-30 18:24:10, 67; 
2018-05-30 18:24:11, 67; 
2018-05-30 18:24:12, 67; 
2018-05-30 18:24:13, 66; 
2018-05-30 18:24:14, 67; 
2018-05-30 18:24:15, 67; 
2018-05-30 18:24:16, 69; 
2018-05-30 18:24:17, 70; 
2018-05-30 18:24:18, 71; 
2018-05-30 18:24:19, 97; 
2018-05-30 18:24:20, 94; 
2018-05-30 18:24:21, 93; 
2018-05-30 18:24:22, 93; 
2018-05-30 18:24:23, 93; 
2018-05-30 18:24:24, 93; 
2018-05-30 18:24:25, 93; 
2018-05-30 18:24:26, 92; 
2018-05-30 18:24:27, 91; 
2018-05-30 18:24:28, 91; 
2018-05-30 18:24:29, 91; 
2018-05-30 18:24:30, 91; 
2018-05-30 18:24:31, 91; 
2018-05-30 18:24:32, 91; 
2018-05-30 18:24:33, 91; 
2018-05-30 18:24:34, 92; 
2018-05-30 18:25:29, 93; 
2018-05-30 18:25:30, 93; 
2018-05-30 18:25:31, 93; 
2018-05-30 18:25:32, 93; 
2018-05-30 18:25:33, 93; 
2018-05-30 18:25:34, 93; 
2018-05-30 18:25:35, 93; 
2018-05-30 18:25:36, 109; 
2018-05-30 18:25:37, 109; 
2018-05-30 18:25:38, 108; 
2018-05-30 18:25:39, 108; 
2018-05-30 18:25:40, 108; 
2018-05-30 18:25:41, 108; 
2018-05-30 18:25:42, 108; 
2018-05-30 18:25:43, 106; 
2018-05-30 18:25:44, 106; 
2018-05-30 18:25:45, 104; 
2018-05-30 18:25:46, 102; 
2018-05-30 18:25:47, 101; 
2018-05-30 18:25:48, 98; 
2018-05-30 18:25:49, 97; 
2018-05-30 18:25:50, 96; 
2018-05-30 18:25:51, 97; 
2018-05-30 18:25:52, 97; 
2018-05-30 18:25:53, 98; 
2018-05-30 18:25:54, 101; 
2018-05-30 18:25:55, 101; 
2018-05-30 18:25:56, 102; 
2018-05-30 18:25:57, 101; 
2018-05-30 18:25:58, 94; 
2018-05-30 18:25:59, 94; 
2018-05-30 18:26:00, 93; 
2018-05-30 18:26:01, 93; 
2018-05-30 18:26:02, 97; 
2018-05-30 18:26:03, 98; 
2018-05-30 18:26:04, 99; 
2018-05-30 18:26:05, 99; 
2018-05-30 18:26:06, 98; 
2018-05-30 18:26:07, 98; 
2018-05-30 18:26:08, 96; 
2018-05-30 18:26:09, 95; 
2018-05-30 18:26:10, 96; 
2018-05-30 18:26:11, 96; 
2018-05-30 18:26:12, 95; 
2018-05-30 18:26:13, 95; 
2018-05-30 18:26:14, 94; 
2018-05-30 18:26:15, 94; 
2018-05-30 18:26:16, 95; 
2018-05-30 18:26:17, 95; 
2018-05-30 18:26:18, 95; 
2018-05-30 18:26:19, 95; 
2018-05-30 18:26:20, 95; 
2018-05-30 18:26:21, 95; 
2018-05-30 18:26:22, 96; 
2018-05-30 18:26:23, 97; 
2018-05-30 18:26:24, 95; 
